"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"JKTYRE","369.45","369.45","364.00","368.45","366.30","-","-2.15","-0.58","3,37,346","12.38","511.00","243.00","-1.34","-20.10"
"VMM","130.39","131.74","128.82","129.76","129.00","-","-0.76","-0.59","1,55,66,009","202.31","137.80","95.99","2.63","-"
"ATGL","664.00","672.60","656.75","663.90","660.00","-","-3.90","-0.59","7,32,740","48.62","941.90","532.60","-3.27","-26.37"
"ERIS","1,710.00","1,716.70","1,686.10","1,718.60","1,708.50","-","-10.10","-0.59","82,405","14.04","1,910.00","987.10","6.34","65.67"
"ASTRAL","1,494.00","1,510.70","1,470.60","1,493.10","1,484.10","-","-9.00","-0.60","11,80,520","175.42","2,433.45","1,232.30","-2.64","-37.45"
"TATACHEM","949.50","956.15","936.40","945.00","939.35","-","-5.65","-0.60","10,18,714","96.32","1,247.35","756.00","2.61","-14.92"
"POLICYBZR","1,815.30","1,820.90","1,763.00","1,809.00","1,798.00","-","-11.00","-0.61","12,96,834","232.08","2,246.90","1,311.35","-2.57","26.32"
"UPL","684.00","696.95","678.70","684.15","680.00","-","-4.15","-0.61","27,91,223","192.26","699.45","484.90","6.03","19.43"
"CLEAN","1,495.00","1,497.00","1,465.00","1,485.00","1,476.00","-","-9.00","-0.61","80,600","11.96","1,690.00","1,106.45","-0.42","0.08"
"SWIGGY","388.00","395.00","381.55","386.00","383.55","-","-2.45","-0.63","84,66,011","329.21","617.30","297.00","5.72","-"
"BANKBARODA","243.24","243.54","239.25","242.32","240.79","-","-1.53","-0.63","1,14,00,183","274.38","274.40","190.70","-5.43","-10.87"
"TANLA","643.10","645.25","637.80","643.10","639.00","-","-4.10","-0.64","2,12,883","13.63","1,086.45","409.35","2.09","-33.65"
"RITES","286.10","289.40","282.00","285.85","284.00","-","-1.85","-0.65","13,37,273","38.09","398.45","192.40","-3.59","-61.89"
"PEL","1,160.00","1,173.40","1,148.00","1,162.50","1,155.00","-","-7.50","-0.65","2,28,871","26.59","1,275.00","848.25","2.33","22.39"
"ADANIPOWER","587.90","590.80","581.10","587.90","584.00","-","-3.90","-0.66","21,78,560","127.56","752.90","432.00","7.27","-17.89"
"ESCORTS","3,365.00","3,373.90","3,319.90","3,366.10","3,325.70","-","-22.40","-0.67","32,907","11.00","4,420.00","2,776.40","2.41","-18.95"
"JINDALSTEL","961.45","964.50","942.65","956.50","950.00","-","-6.50","-0.68","6,52,147","62.15","1,073.70","723.35","0.14","-9.71"
"HOMEFIRST","1,352.00","1,364.20","1,340.00","1,361.10","1,351.90","-","-9.20","-0.68","98,261","13.28","1,510.00","878.40","8.07","26.85"
"CAMPUS","270.85","273.60","268.50","270.85","269.00","-","-1.85","-0.68","2,43,776","6.59","371.90","210.00","-9.52","-9.84"
"FEDERALBNK","216.99","218.25","214.05","216.99","215.50","-","-1.49","-0.69","51,20,183","110.50","220.00","172.66","2.06","18.98"
"BERGEPAINT","600.00","603.50","593.70","600.15","596.00","-","-4.15","-0.69","3,63,256","21.71","629.50","437.75","4.70","16.18"
"RAILTEL","422.00","423.70","416.05","420.90","417.95","-","-2.95","-0.70","11,80,709","49.53","617.80","265.50","-5.27","-13.93"
"TIMKEN","3,329.00","3,352.80","3,290.00","3,331.40","3,308.20","-","-23.20","-0.70","75,344","24.95","4,534.95","2,202.00","1.08","-24.19"
"TVSMOTOR","2,900.00","2,912.50","2,849.30","2,899.20","2,878.60","-","-20.60","-0.71","4,94,247","142.13","2,960.30","2,171.40","4.34","21.73"
"JMFINANCIL","167.00","168.65","162.58","166.91","165.70","-","-1.21","-0.72","76,55,720","126.80","169.47","80.20","26.63","80.68"
"MRF","1,45,500.00","1,46,000.00","1,43,500.00","1,44,920.00","1,43,850.00","-","-1,070.00","-0.74","4,175","60.22","1,48,075.00","1,02,124.05","5.77","12.02"
"OLECTRA","1,210.00","1,217.40","1,196.60","1,209.10","1,200.00","-","-9.10","-0.75","1,58,585","19.09","1,960.00","989.95","-2.38","-33.45"
"CONCORDBIO","1,751.00","1,763.80","1,735.00","1,750.20","1,737.00","-","-13.20","-0.75","66,617","11.62","2,664.00","1,345.00","-7.37","1.21"
"SBILIFE","1,806.00","1,812.10","1,783.10","1,810.20","1,796.40","-","-13.80","-0.76","6,85,665","122.98","1,936.00","1,372.55","1.34","19.36"
"ZFCVINDIA","13,460.00","13,460.00","13,237.00","13,344.00","13,242.00","-","-102.00","-0.76","5,002","6.67","17,300.00","9,561.00","-1.73","-16.83"
"GODREJAGRO","788.40","795.10","773.05","788.10","781.95","-","-6.15","-0.78","1,58,022","12.39","876.70","654.00","-4.05","-1.99"
"JSWINFRA","307.85","309.20","303.60","307.75","305.30","-","-2.45","-0.80","10,97,132","33.60","360.95","218.20","4.37","-13.83"
"MARUTI","12,715.00","12,748.00","12,608.00","12,752.00","12,647.00","-","-105.00","-0.82","2,25,607","285.25","13,680.00","10,725.00","3.97","4.60"
"PIDILITIND","3,124.80","3,124.90","3,058.10","3,114.50","3,088.90","-","-25.60","-0.82","2,10,376","64.92","3,415.00","2,622.20","-0.49","-0.56"
"GPPL","158.41","159.00","156.00","158.41","157.10","-","-1.31","-0.83","8,21,919","12.92","250.69","122.50","0.15","-31.26"
"TATACOMM","1,778.00","1,791.40","1,754.40","1,778.00","1,763.10","-","-14.90","-0.84","6,96,115","122.94","2,175.00","1,291.00","4.74","-6.07"
"WESTLIFE","764.00","811.70","753.10","760.20","753.80","-","-6.40","-0.84","6,53,856","51.46","957.00","640.70","13.60","-8.14"
"AARTIIND","482.40","482.70","473.10","479.45","475.40","-","-4.05","-0.84","6,55,612","31.33","765.50","344.20","-1.01","-33.67"
"HAPPSTMNDS","645.00","646.00","634.20","643.50","638.10","-","-5.40","-0.84","2,33,508","14.96","849.40","519.30","8.39","-22.66"
"BASF","5,187.00","5,190.00","5,075.00","5,142.50","5,099.50","-","-43.00","-0.84","13,543","6.94","8,750.00","4,065.05","-0.44","-1.37"
"PERSISTENT","5,965.00","5,975.00","5,838.50","5,950.50","5,898.00","-","-52.50","-0.88","1,53,281","90.45","6,788.90","4,148.95","7.12","24.10"
"BSOFT","438.50","441.45","433.10","438.30","434.40","-","-3.90","-0.89","5,85,030","25.54","760.45","331.00","8.02","-39.33"
"FINPIPE","212.75","214.45","209.54","212.69","210.80","-","-1.89","-0.89","5,82,745","12.33","334.35","153.92","-2.62","-35.54"
"CAMS","4,258.00","4,282.10","4,170.60","4,258.40","4,219.90","-","-38.50","-0.90","2,69,209","113.72","5,367.50","3,031.05","1.40","13.61"
"ELGIEQUIP","537.55","540.55","527.35","537.55","532.70","-","-4.85","-0.90","2,03,198","10.83","762.20","401.00","-0.64","-27.77"
"AFCONS","433.60","437.45","425.45","432.95","429.00","-","-3.95","-0.91","8,27,834","35.53","570.00","398.00","1.73","-"
"RHIM","484.00","486.90","474.20","483.10","478.70","-","-4.40","-0.91","2,23,741","10.76","672.00","376.45","8.58","-24.75"
"INDUSINDBK","857.10","863.90","849.40","862.40","854.50","-","-7.90","-0.92","26,58,812","227.74","1,498.00","606.00","5.15","-40.66"
"SAREGAMA","499.80","503.65","493.05","497.75","493.15","-","-4.60","-0.92","2,20,243","10.95","688.90","417.40","-12.89","-9.38"
"RAYMOND","724.00","724.90","700.75","724.45","717.65","-","-6.80","-0.94","16,34,777","116.48","3,496.00","523.10","15.90","-75.75"
"IFCI","63.34","64.00","62.32","63.16","62.54","-","-0.62","-0.98","56,18,159","35.41","91.40","36.20","-7.28","2.81"
"FACT","951.95","953.90","935.10","947.30","938.00","-","-9.30","-0.98","1,77,008","16.71","1,171.00","565.00","-8.78","-7.14"
"AADHARHFC","464.95","468.50","453.65","463.65","459.05","-","-4.60","-0.99","2,24,492","10.38","516.80","346.05","4.29","5.06"
"RENUKA","33.26","33.33","32.65","33.21","32.87","-","-0.34","-1.02","30,61,684","10.09","56.50","24.71","-0.78","-31.71"
"ADANIGREEN","1,012.00","1,012.00","990.00","1,008.50","998.10","-","-10.40","-1.03","15,65,915","156.55","2,091.00","758.00","-0.80","-43.58"
"SKFINDIA","5,026.00","5,026.00","4,900.00","5,017.20","4,949.00","-","-53.70","-1.07","59,220","29.43","6,570.00","3,541.00","3.79","-22.50"
"DEEPAKFERT","1,729.00","1,755.00","1,697.60","1,728.90","1,709.90","-","-19.00","-1.10","3,59,585","61.89","1,778.60","711.40","8.41","128.03"
"APOLLOTYRE","462.95","467.00","456.25","462.60","457.50","-","-5.10","-1.10","5,64,868","25.99","584.90","370.90","0.22","-13.12"
"SAIL","135.82","136.75","133.71","136.50","134.99","-","-1.51","-1.11","71,61,066","96.77","158.75","99.15","2.19","-10.81"
"APLLTD","1,010.50","1,010.50","993.00","1,007.40","996.20","-","-11.20","-1.11","1,08,238","10.81","1,303.90","725.20","1.97","4.06"
"USHAMART","372.90","374.80","365.20","371.85","367.70","-","-4.15","-1.12","4,51,791","16.78","451.00","278.55","20.56","-9.56"
"HSCL","505.00","505.40","495.50","503.70","498.00","-","-5.70","-1.13","10,96,682","54.77","688.70","365.35","3.52","24.02"
"INDIAMART","2,575.00","2,592.90","2,530.00","2,580.10","2,549.90","-","-30.20","-1.17","1,84,456","46.93","3,198.40","1,900.10","7.01","-5.65"
"NSLNISP","41.03","41.08","40.40","40.98","40.50","-","-0.48","-1.17","16,48,557","6.70","62.45","32.13","4.03","-30.06"
"INTELLECT","1,144.00","1,144.00","1,112.00","1,139.60","1,126.00","-","-13.60","-1.19","1,41,438","15.96","1,255.00","577.40","-5.60","2.72"
"GODIGIT","340.00","342.95","334.20","341.10","337.05","-","-4.05","-1.19","3,55,002","11.96","407.40","264.60","0.72","-1.68"
"PGEL","764.70","771.40","745.00","762.25","753.00","-","-9.25","-1.21","13,02,333","98.40","1,054.20","337.00","-0.66","-79.60"
"GSPL","341.55","341.55","334.05","339.00","334.85","-","-4.15","-1.22","3,28,406","11.04","469.70","261.45","-0.12","9.23"
"EIDPARRY","1,109.20","1,117.70","1,090.00","1,114.70","1,101.00","-","-13.70","-1.23","1,97,335","21.70","1,129.00","639.00","11.84","43.96"
"WHIRLPOOL","1,414.80","1,414.80","1,372.00","1,401.70","1,384.30","-","-17.40","-1.24","50,772","7.03","2,449.70","899.00","10.12","-31.22"
"HINDCOPPER","280.00","282.45","274.85","280.70","277.20","-","-3.50","-1.25","32,05,033","89.24","353.00","183.82","9.49","-15.11"
"JSWHL","22,730.00","22,755.00","22,195.00","22,595.00","22,310.00","-","-285.00","-1.26","551","1.23","27,740.00","6,455.00","-1.04","-"
"MOTILALOFS","920.00","926.00","904.80","929.10","917.00","-","-12.10","-1.30","22,17,278","203.42","1,064.00","507.55","11.47","63.01"
"KEI","3,855.00","3,875.90","3,736.90","3,840.70","3,790.00","-","-50.70","-1.32","3,58,266","136.46","4,779.90","2,424.00","4.22","-19.29"
"HONASA","299.90","299.90","293.25","298.45","294.50","-","-3.95","-1.32","4,39,048","12.99","547.00","197.51","-7.06","-39.18"
"HYUNDAI","2,105.00","2,125.20","2,054.00","2,091.90","2,063.60","-","-28.30","-1.35","6,54,426","136.02","2,265.30","1,541.70","12.83","-"
"TATAINVEST","6,824.50","6,841.00","6,710.00","6,825.00","6,731.50","-","-93.50","-1.37","19,369","13.11","8,074.25","5,145.15","1.93","2.26"
"HBLENGINE","637.00","638.00","622.25","636.05","627.00","-","-9.05","-1.42","11,13,021","70.10","739.65","405.00","3.80","-"
"BHARTIHEXA","1,920.00","1,942.50","1,895.50","1,928.50","1,900.90","-","-27.60","-1.43","1,32,064","25.28","2,052.90","1,030.00","1.39","77.58"
"GUJGASLTD","495.15","499.40","487.80","495.15","488.05","-","-7.10","-1.43","2,89,091","14.23","689.95","360.25","3.25","-22.69"
"IDEA","7.48","7.51","7.33","7.49","7.38","-","-0.11","-1.47","40,30,35,848","297.84","17.74","6.29","6.51","-57.89"
"POLYCAB","6,828.00","6,871.00","6,661.50","6,807.50","6,705.00","-","-102.50","-1.51","4,57,714","309.23","7,605.00","4,555.00","13.91","0.84"
"RRKABEL","1,403.70","1,409.00","1,367.90","1,393.00","1,372.00","-","-21.00","-1.51","64,513","8.93","1,850.00","853.55","-0.60","-23.19"
"MCX","9,030.00","9,030.00","8,821.00","9,002.50","8,865.00","-","-137.50","-1.53","5,12,742","456.43","9,115.00","3,620.30","29.31","125.68"
"OIL","454.00","454.35","444.05","452.95","445.95","-","-7.00","-1.55","35,61,602","159.19","767.90","325.00","4.88","-9.46"
"DALBHARAT","2,211.00","2,230.50","2,159.10","2,209.80","2,175.00","-","-34.80","-1.57","6,29,709","138.85","2,245.00","1,601.00","5.79","18.29"
"EICHERMOT","5,715.50","5,715.50","5,620.00","5,716.00","5,625.50","-","-90.50","-1.58","1,85,006","104.47","5,906.50","4,508.75","5.82","20.03"
"AFFLE","2,040.00","2,059.00","2,007.20","2,044.80","2,012.00","-","-32.80","-1.60","3,03,551","61.46","2,080.00","1,246.00","11.60","48.66"
"WOCKPHARMA","1,756.00","1,768.90","1,708.10","1,748.40","1,720.00","-","-28.40","-1.62","5,93,735","103.15","1,868.80","750.00","15.57","84.98"
"ABSLAMC","821.00","821.80","800.00","817.30","804.00","-","-13.30","-1.63","2,21,599","17.90","911.85","556.45","5.52","22.57"
"AAVAS","1,943.00","1,963.00","1,905.00","1,941.10","1,908.80","-","-32.30","-1.66","1,43,360","27.65","2,234.00","1,603.30","5.96","6.42"
"TATASTEEL","165.91","166.49","162.00","165.91","163.10","-","-2.81","-1.69","2,29,38,753","374.75","178.19","122.62","3.05","-7.53"
"JKCEMENT","6,340.00","6,344.50","6,225.00","6,347.00","6,239.50","-","-107.50","-1.69","40,418","25.35","6,513.50","3,891.45","12.06","45.69"
"CEATLTD","3,710.00","3,710.00","3,600.00","3,682.60","3,616.00","-","-66.60","-1.81","73,575","26.69","4,044.00","2,343.05","-0.30","35.67"
"GODFRYPHLP","8,975.00","8,975.00","8,628.50","8,874.50","8,710.00","-","-164.50","-1.85","1,32,359","115.74","9,645.50","3,950.05","3.37","99.69"
"ABBOTINDIA","35,420.00","35,675.00","34,660.00","35,420.00","34,760.00","-","-660.00","-1.86","9,978","34.97","37,000.00","25,325.00","10.99","24.49"
"NYKAA","202.50","203.16","197.62","202.31","198.40","-","-3.91","-1.93","79,97,284","159.07","229.80","154.90","1.63","15.66"
"ALKYLAMINE","2,341.20","2,346.00","2,286.10","2,341.20","2,295.30","-","-45.90","-1.96","53,640","12.38","2,498.85","1,508.00","18.53","6.97"
"NETWEB","1,860.10","1,870.90","1,813.00","1,860.70","1,823.80","-","-36.90","-1.98","1,46,590","26.86","3,060.00","1,251.55","-7.31","-30.56"
"DMART","4,364.90","4,375.50","4,251.00","4,348.70","4,261.80","-","-86.90","-2.00","4,88,810","210.01","5,484.85","3,340.00","4.58","-10.63"
"MFSL","1,610.00","1,624.20","1,574.30","1,618.90","1,585.20","-","-33.70","-2.08","12,18,649","193.91","1,666.90","950.00","5.61","58.60"
"SCHAEFFLER","4,046.00","4,050.40","3,899.60","4,015.50","3,930.00","-","-85.50","-2.13","52,851","20.85","4,747.00","2,823.00","-6.69","-15.94"
"BLUEDART","6,898.50","6,898.50","6,661.00","6,843.50","6,690.00","-","-153.50","-2.24","17,894","12.08","9,488.70","5,365.00","4.94","-18.24"
"CDSL","1,805.00","1,805.00","1,726.70","1,804.90","1,763.40","-","-41.50","-2.30","54,59,008","962.02","1,989.80","1,047.45","3.60","-24.03"
"EMCURE","1,265.00","1,282.00","1,246.00","1,279.80","1,249.90","-","-29.90","-2.34","58,34,316","730.89","1,580.00","889.00","-6.12","-"
"ASTERDM","643.90","647.70","625.35","650.05","634.50","-","-15.55","-2.39","44,39,670","282.44","675.00","315.50","8.63","83.47"
"BANDHANBNK","180.50","182.44","176.63","183.93","179.50","-","-4.43","-2.41","1,34,48,770","241.53","222.31","128.16","6.48","-13.50"
"LTFOODS","500.70","502.35","482.00","499.55","487.05","-","-12.50","-2.50","11,33,837","55.55","508.90","244.85","9.99","92.82"
"FIRSTCRY","376.50","376.50","360.20","374.65","365.00","-","-9.65","-2.58","15,71,742","57.48","734.00","286.05","-0.08","-"
"JSL","699.90","699.90","674.00","697.85","679.00","-","-18.85","-2.70","9,12,582","62.29","848.00","496.60","3.65","-18.44"
"IKS","1,639.00","1,649.80","1,587.90","1,639.90","1,595.00","-","-44.90","-2.74","1,87,918","30.36","2,189.00","1,236.80","-0.97","-"
"KFINTECH","1,335.90","1,335.90","1,273.20","1,329.70","1,293.00","-","-36.70","-2.76","10,63,028","138.01","1,641.35","699.00","10.65","73.30"
"ABREL","2,365.70","2,372.70","2,295.00","2,365.70","2,299.00","-","-66.70","-2.82","87,529","20.35","3,140.00","1,638.00","7.68","-"
"NETWORK18","58.00","58.25","56.30","58.11","56.45","-","-1.66","-2.86","65,27,652","37.17","106.00","39.66","1.99","-35.25"
"APARINDS","8,921.00","8,951.50","8,505.00","8,921.00","8,644.00","-","-277.00","-3.11","91,487","79.32","11,779.90","4,308.05","8.54","0.33"
"CRISIL","6,041.00","6,137.00","5,808.50","6,041.00","5,850.00","-","-191.00","-3.16","63,593","37.67","6,950.00","3,973.60","10.41","35.60"
"AIIL","2,670.00","2,670.10","2,535.40","2,683.60","2,582.90","-","-100.70","-3.75","1,40,794","36.47","2,742.70","959.40","1.70","124.98"
"DCMSHRIRAM","1,429.00","1,450.00","1,341.00","1,425.50","1,355.00","-","-70.50","-4.95","22,28,734","306.27","1,474.90","902.60","29.24","34.32"
"ANGELONE","2,885.00","2,885.00","2,734.40","2,950.60","2,773.50","-","-177.10","-6.00","28,54,583","793.92","3,503.15","1,941.00","-11.27","18.48"
"BSE","2,778.00","2,778.00","2,613.10","2,820.10","2,639.00","-","-181.10","-6.42","1,29,17,060","3,444.46","3,030.00","705.00","-5.79","7.24"
"SAMMAANCAP","135.60","135.60","122.15","135.73","123.97","-","-11.76","-8.66","3,73,10,249","468.80","179.30","97.61","-0.25","-"
"NUVAMA","7,940.00","7,940.00","7,205.00","8,175.50","7,310.00","-","-865.50","-10.59","8,18,965","611.06","8,508.50","4,600.00","-0.84","50.14"
"TRENT","5,675.00","5,785.00","5,350.00","6,191.00","5,487.00","-","-704.00","-11.37","75,16,962","4,204.61","8,345.00","4,488.00","-0.92","-2.53"
